ID	Text	Labels
C101.145	BJP Ge Spokparson ngsu comments c yenggu BJP Yaba amta yaodre	(NAG,NGEN,NCOM)
C12.99.1	Great bro !!!! Keep up the momentum	(NAG,NGEN,NCOM)
C101.908	"CAB ki mtangda Khannaba yaodou saruk kei mamai nallubana fei khallmgani BJP gi
spoke person singse upai leitadana lakpa oirmni nungsihe"	(CAG,NGEN,NCOM)
C115.173	"This is 21st century and any separatist demand in Country will not be
tolerated  
  
🇮🇳🇮🇳🇮🇳🇮🇳"	(OAG,NGEN,NCOM)
C100.45	Good 👍👍👍	(NAG,NGEN,NCOM)
C95.186	"Mr jalal se self interest oiba wa ngange magi organization na lead twraga
chtningbgi maong da ngangi amaromda oja Syed ki wakhllon, wangang yamna leibak
macha tai"	(NAG,NGEN,NCOM)
C101.546	"Kadar tournu congress nahanei panlmdba waei Ama ngshidi paleida nagun khangi
congress ngshidi shana leipaka yamna panlkeida.."	(NAG,NGEN,NCOM)
C10.94	Nungaina panba oibyo God bless you and your family forever	(NAG,NGEN,NCOM)
C101.241	"Makhoi masel hunnabda asengba makhei loina haidorakle........ Congress su
pamjade BJP su okchare. Pelle2"	(NAG,NGEN,NCOM)
C101.501	Sir bijoy se ym nungairiye	(NAG,NGEN,NCOM)
C101.630	"Parliament ki Manipurgi MP singsu discussion da invite toubiyu henna
nungainaba"	(NAG,NGEN,NCOM)
C101.205	"Hanuba noidi sikhranii chahee khara leibaga. CAB tuna chtnarkadii wahwdoije
youth eikhoinii. Hanuba noidi kem sokoi. Go back BJP."	(NAG,NGEN,NCOM)
C115.53	CM ywrga amtng discussion twrdi nungaidwni	(NAG,NGEN,NCOM)
C101.937	"Cab gi matangda ema eben echin enaosing na fangkhiba cheinado kaoba ngamlgdro
?"	(NAG,NGEN,NCOM)
C115.105.1	Peter Singh LPM	(NAG,NGEN,NCOM)
C95.114	"Chaoba haigera tomba haigera Islam darma chtpa kanglup adubu muslim
kwee.pangal haigera meitei pangal haigera madu matm matmdugi panba angam
athwsingi achan mingwni hainingba hairabasu eigi darmadi Islam ni Muslim ni."	(CAG,NGEN,NCOM)
C130.23	Basically why did she gave herself to this married man?	(CAG,GEN,NCOM)
C10.43.3	Hygy simply guy ngje gyn ym tai	(NAG,NGEN,NCOM)
C105.14	God bless you sis😘	(NAG,NGEN,NCOM)
C12.5	Ng sakthuni metei macha asangba oiramoi yanaraga pokpa macha oiramni ng	(OAG,NGEN,COM)
C95.353	"[14:30](https://www.youtube.com/watch?v=MctrCuBVOYM&t=14m30s) swaisida eigi
oiba wafam khra..... Meitei Pangal haidradi chakthung amt fngoi marm asina
Meitei Pangal haigadbani haiba wasidi yam lalgani historyda hngtna yengbada
Meitei Pangal haiba waheisi 19s ki mtmda thoklkpani haibsi khnglbanina
Manipuri muslim or Pangal haibasida oficial oina sijnanaba hotnbada kari
kaibga"	(CAG,NGEN,NCOM)
C12.139.1	"General strike twba c na manipuri eikhoidi gi education lo thabak suwo adu
oiradi strike su twning laroi neighbours singda yengsinba matam su leiraroi
peace oirani boy"	(NAG,NGEN,NCOM)
C95.131.1	Segi arsad erudbse kmba jungle thoklkpano amukta ujadre	(CAG,NGEN,NCOM)
C115.87	manipurge youths mym mikp thokpa mtm oire hybni( loina smjnlaga)	(NAG,NGEN,NCOM)
C100.42	Hey kashubi taningdre	(OAG,GEN,NCOM)
C115.89	"Ei wakhl da akhoi Manipur sokloidba lei taragadi Manipur ga wari sanabagi
drkar oidbr khlle.... Central ga Nagaland gagi wari akhoi ywde.... Sokloidba
leiradi akhoiga kari wari sanagani  
Echm chmb akhoigi kok ta fw c wakhl se lk a akhoi gov. Na km twroi laoraga lei"	(CAG,NGEN,NCOM)
C10.24	Nang sidaribo mei thaninge	(OAG,NGEN,NCOM)
C95.113.1	"Madudi tokloi, manipursi Islam onhannaba kanna toukhini makhoi, aduga makhoigi
nupisu meiteida pithokoi."	(CAG,NGEN,COM)
C115.132.2	"Ngamjathang Mate Dear brother as per my limited knowledge COCOMI didn't impose
General Strike on the 1st Nov. It was cease work. On that day I went to some
places, I found no disturbance in transportation. I share your inconvenience."	(NAG,NGEN,NCOM)
C101.895.4	Yam nungaijre mayambge wafmse	(NAG,NGEN,NCOM)
C10.29.1	"menai tukachei ne social media da adumba wa sijineido noi Islam da takpibro
lwsan ba heira d pithok pa su khara tamse"	(CAG,NGEN,NCOM)
C101.789	Bjp na eikhoibu ym wahalle maduna vote ti pijararoi sw yade	(CAG,NGEN,NCOM)
C95.177	"Akaiba keisu yaode kaka sm jalal mana ngangese asoiba amata yaode historical
facta ngangbni"	(NAG,NGEN,NCOM)
C106.26	"Shkthu ngse pura kasuba hyge natu fwba sennaba ngmdaba ngn eikhoi sennani hyna
thokedo namai maithudo ekaidro"	(OAG,GEN,NCOM)
C101.318	"State ki CM amna haibdu pirage sinnine. CM Khudingmkki apamba pini hairadi
eikhoigi CM di tumlibra mabuk fba modi leiringei da apambmkhei haihouro"	(CAG,NGEN,NCOM)
C108.117	Non manipuri natrabidi, meitei nupa aphaba yamna leibane.	(OAG,GEN,COM)
C101.132	Yaragadi laws of Asylum gisu amta neinabiyo	(OAG,NGEN,NCOM)
C95.398.1	@Hussain Komol loinada yetle	(NAG,NGEN,NCOM)
C101.725	BJP se World da khwaidagi sathiba mahik makhal Amani.	(CAG,NGEN,NCOM)
C95.19	Meitei ga Meitei pangal gadi piba mcha ningol mcha ni eh mri echin enwni	(NAG,NGEN,NCOM)
C101.744	neire2	(NAG,NGEN,NCOM)
C101.116	"Ym pktre BJP se wa theiraga ngangbda warmlani hndkki vote se BJP kadba
oirasanu..."	(CAG,NGEN,NCOM)
C101.514	Da raj na neiraaa	(NAG,NGEN,NCOM)
C10.165	"nungai yaifana palloko echal,religion haibase mina sembani miobana malemda
ahanba leiba hourakpada religion haibama leiramde,yamna hnthaba misingna
masagi religionkhtabu athoibani haina khnbani,achumba touba minungc leibana
athoiba dharmani,manipurda ahanba muslim lakpada ningthouna makhoida meitei
nupi piduna chada naoda sandokhnkhi,matmduda karigumba ningthouna nakhoidi
eikhoiga dharma mannade nakhoi hnkhro hairamba tarabadi manipurda muslim masak
urammoi.....laikhkta khuramba migi fattanaba touba, miwa ngangba,minungc
leitaba midi keidoungeidasu sarga fangoi,dharma haibac laikhkta ningbadu
natte......."	(NAG,NGEN,NCOM)
C95.464.1	Chahi kharadang ngaikhisi...	(NAG,NGEN,NCOM)
C95.142	I'm proud to be a bangladeshi muslim. C oiradi frmlani	(CAG,NGEN,COM)
C12.13	"Bir gi videodo amukta yengbiyu yaragad aduga gyn tarkpa ngmbra yengo india dei
hendb ngna chaokhtpagi athrafhao fhajanna khngdab ngna"	(CAG,NGEN,NCOM)
C95.412	"Tokhai tanaba ym pamlabra khangde eikhoina puna leiminaba haibasigi wakhalonda
adum khala leire"	(CAG,NGEN,NCOM)
C95.126	"Masida khannadoi saruk , legal oigera illegal oigera immigrant Muslim da oina
khannou makhoine lurise masibu nakhei sengngadi pangal singgi development work
ta chaona ahongba lakkani thajei"	(NAG,NGEN,NCOM)
C95.454	eikhoidi koktum ngaowi manipurse irangi irang ngakta ngaire	(CAG,NGEN,NCOM)
C115.33	Sirashu c ni manipur ngamkhei kai yaroi ehou lepkumse	(OAG,NGEN,NCOM)
C115.176	"Separate flag and constitution are totally unaccepted and baseless Demands
🇮🇳🇮🇳"	(OAG,NGEN,NCOM)
C95.371.2	Henry pkliba ngi mingdo hanna smdok fake foreign 🤣🤣	(CAG,NGEN,NCOM)
C10.130	"Masi communal gi wa natte,Esagi dhrma gi oiba wa ngangjabni,masida wakhl pikpa
chaokhtpa chaokhttaba haiganu,chaokhttribasi msagi dhrma msk khngdba
miduni,,Islam ga atoppaga khetnaba khr lei adunani ngangibasi."	(CAG,NGEN,COM)
C101.403	Kang yet ani pullaga oina laklabra bjp se moi ani na semkhiba douna	(CAG,NGEN,NCOM)
C101.281	eid bjp da sungp piroi maga alliance tasu sungpi piroi	(CAG,NGEN,NCOM)
C10.50	"you thoughtless people will somehow ruin the meitei bloodline. Meiteis are so
few in number ,barely 100K , and even few intermarriages with the pangal/mayan
bring drastic changes to meitei geneology.Eventually meiteis will be low IQ
like mayang ,hairy,stinky ,huge froggy eyed, black and our predecessors will
be terrible breed with less pure meitei trait."	(OAG,NGEN,NCOM)
C105.17	Good decision...May God bless You.	(NAG,NGEN,NCOM)
C10.2.3	Karisukai eina hairise gheyan tador	(NAG,NGEN,NCOM)
C101.565	Comments mayamc yangbada BJP nungsiba amta ywdreee 🤣🤣🤣🤣🤣🤣🤣🤣	(NAG,NGEN,NCOM)
C101.747	Raj na neire ngasidi yamthina nungai taba	(NAG,NGEN,NCOM)
C95.73	"Myamc cgumba nataba heram khudingmkta sothaduna leirba manipuri muslim singc
kamdouna develop tougni haibromda kok khra thatbirdi fagadouba adugi onnabda
pangal/meetei pangal oja Arshad yareko taningdre pangang ngangnroic"	(CAG,NGEN,NCOM)
C95.82	Meetei na hindu onkhibasi karam kandano Mr . Jalal	(CAG,NGEN,NCOM)
C12.148	"lmdmc culturena yomduna hinglibni imitate toubc merit amasung demerit lei hoi
chumi somna ngangbda achumb kharasu yaodb nate but utlou g thoudokc yam
uncivilize oib potni choaktp2 haic different angleg different view leini but
the action must guide thefuture generatio we should act wat we like in social
manner if we do something against the social practice our society will punish
us utloug incidentc strongly protest toue westerna develope touric bard clubt
dance toubdge nateye reason mayam lei imitationc aphab mayongd khara touba fei"	(CAG,NGEN,NCOM)
C101.674	Manipur gi bjp politicians sing c loina modi gi thi chare.	(CAG,NGEN,NCOM)
C95.135	"Mamangda leirasu khangle govt. Na laothoklaga ngangbani. Mamangda leiramlabsu
chatnaba yaroi"	(CAG,NGEN,NCOM)
C101.401	"Yajare hwjik vote ki manifesto da mayk sangna ywrak akansida, lamsotpi paokhum
wate haibado twrak ano, lalonbigi wask to twrak ano eikhoi esana khangna vote
pijarage"	(CAG,NGEN,NCOM)
C101.100	congress is win	(OAG,NGEN,NCOM)
C12.77	yam chumme I wish I could like thousands of times	(NAG,NGEN,NCOM)
C115.29	Bjp da vote pikhisi. Watle erang	(CAG,NGEN,NCOM)
C95.422	"Eikhoi masen marakta asuk ym yengsinnarise keigino???  
Chaokhatpa wakhal khanba ngammaroiye sidi...higa hidega twwega twdega...eigi
magi sum twradi leiriba mafamdudei henba ngammaroiye..."	(CAG,NGEN,NCOM)
C101.548	Pranam choukidars. You've accepted the challenge. Now wait and watch	(CAG,NGEN,NCOM)
C115.186	KEINO AKANBA KHONGJANG AMTA TOUDRISIBO	(CAG,NGEN,NCOM)
C101.808	Big salute to sir Raj nongthombm	(NAG,NGEN,NCOM)
C101.960.2	"@Khundongbam ZEKIT MEITEI hahaha law of isolam, noi bjp huranba singse huranba
chtlingeida gunda saringeida, lairik laisu tmhoudrabo.. Lairik heitaba mi
khudingmk bjp gi supporter ntte, adubu bjp da support touba mi khudingmk
lairik heite, khudam oina Mr Atiya Meitei😂"	(CAG,NGEN,NCOM)
C101.499	Handaki bjp c maraibak thida	(NAG,NGEN,NCOM)
C10.185	"meeyam khudingna leibakna saba yum khkta leiringei mtmda khnnrmi nungga
leingoiga punba yaroi haina,mtmdugi asingba meeoini haijbsingna,adubu mtmna
meeoibda gyan ahenba haplkpdgi chek ki yum haibdi building ddi nung leingoi
pundba yarktre.msina takpdi kana kana kari kari pullga chetpa structure
(saong-sada) oigni khnbgi mthou yamna tare,aduna religion (dharma)da meeoi
masing sigei leigdbni haib leitbnina waroub saob khuding kayabusu
fathabiyu,nungsibromgi lambiduda chtminnsi.i love everyone chahe hindu ho ya
muslman ho.jai Manipur and bharat."	(NAG,NGEN,NCOM)
C95.434.2	"@Shantikumar Ningthouja  
Appreciate you idea.!  
Islam dhrma n eikhoina khundariba prithivi gi mfm amadi miyoi khudingmk God
sembibni marm aduna poknafm ereipak amadi leiminnariba khudingmk nungshi
channa leiminnba paotak kya pibiri.  
Thanks bro"	(NAG,NGEN,NCOM)
C10.181	"long live  
u r perfect.."	(NAG,NGEN,NCOM)
C95.236	"Yare taningdre ambu oire 2 noi 2gi namadi meitei nupi natro namadubu nungcbga
amta faodrabo saktasa asuk luba Tanja cda kanana ensinlaga khatnrino ......
Eikhoidi keisu khande echin enaoni loina khanli"	(CAG,NGEN,NCOM)
C108.91	Meitei nupa leitrbo	(CAG,GEN,COM)
C101.338	"""Rohingya hek boarder lanjllkpada sarkarna chak pija tare"",👈c tabada congress
2 c na nokpado uhwdro🤣🤣🤣"	(NAG,NGEN,NCOM)
C108.124	Keinomnina mi nungsinabei oirmni keino	(NAG,NGEN,NCOM)
C95.175	Meitei-Pangal na yaifare	(NAG,NGEN,NCOM)
C106.32	Ngaore2	(CAG,NGEN,NCOM)
C101.920.5	Hantakti pabung Dr Nara da pirac	(NAG,NGEN,NCOM)
C95.380	Chumbu chumdro pangaldi panglna lepchagni haibsi ojalalgil motsi	(NAG,NGEN,NCOM)
C95.152	meitei or meetei sida problem yam leibaduda pangal dng hairase haibani moigise	(NAG,NGEN,NCOM)
C12.154.2	Yam chume	(NAG,NGEN,NCOM)
C115.120	Pendeda.	(NAG,NGEN,NCOM)
C95.113	Meitei louthokningladi Meitei nupi lumba koiba louba tokloko	(CAG,NGEN,NCOM)
C95.98	"Yare keidwrge meitei pangal, pangal chp manei keidwrge certificate d ywriba
meitei pangal haiba cd meitei haibse kotla lngro haibro kei bttano khngdewani
.......meitei pangal wa Loire hwbdg tw yadro kokti ebo meitei pangal wa Loire
💔😂"	(NAG,NGEN,NCOM)
C101.844	"[1:05:23](https://www.youtube.com/watch?v=dH6PJqMGx8A&t=1h05m23s) best
question by Raj......"	(NAG,NGEN,NCOM)
C95.330	"Meitei pangal hairgdi yumnaknsu takchrbni. Manipurda thonkhiba yumnak nttba
muslimdo pangal kouba yaroi. ..gyan tabiu"	(CAG,NGEN,NCOM)
C101.317	Tarun gogoina chithi ebado Manmohanna parliament ta puthokkhibra.	(CAG,NGEN,NCOM)
C10.178	"Social mediada chaokhatana ngangbasu tokpiyu..chaokhataba pukchel pikpa nakhoi
kharagi waheina santi oina hingminariba pangal meitei kayagi shantibu
thugaiganu.noigi khonjel wangangsingdo taraga tukachaba faoye"	(NAG,NGEN,NCOM)
C115.163	"Eikhoi khanaduna leishi hanjan hanjan hangba khumba tabda yamna ware eikhoigi
firep achetpa ama leplashi khangbda yamna ware"	(CAG,NGEN,NCOM)
C108.47	Amazing videography and great leads😁😁congratulations	(NAG,NGEN,NCOM)
C101.153	b j p se hatlase mayam	(CAG,NGEN,NCOM)
C115.26	So thanks CCOMI reparative yours opinion	(NAG,NGEN,NCOM)
C12.93.1	"@Selena Lover mama mpa leirise keigino aduna takpi tmbirktba oirgna fare keino
mymna mdu yadena warkedo😀"	(CAG,NGEN,NCOM)
C105.32	"Oidba drama chatou saruk mangdou saruk achumba isor da chngjarini noi
kallakpra noi hindu d kydagi gyan tanige"	(OAG,NGEN,COM)
C95.237.1	Waridi	(NAG,NGEN,NCOM)
C12.80	"Pune da chahi 11 leiriba adomna manipurgi damakta toukhiba aphaba thabak
amatang haibiramu"	(CAG,NGEN,NCOM)
C100.5	Potti kappihe hairise fajei haibani adum khanllo nggi kokto khara sijannw ooo	(CAG,NGEN,NCOM)
C101.923.4	"BJP ga Congresskadi congressna fre mrmdi corruptiondi animk twbnina. Adubu
votekidi apambda pibiu anisi nttbda"	(NAG,NGEN,NCOM)
C101.874.1	"Cab manipur da chatnabda kanagdabasing adu bjp na takpiro? Bjp gidamak thawai
thabige. Wathi warem ngangbiranu Matm mangi."	(CAG,NGEN,NCOM)
C101.681	Devbrata yaoragata henna clear oina haiba ngammi	(NAG,NGEN,NCOM)
C101.923.1	"@kh faruk eisu adune NEIDP da pihnninge adu ahal laman singse Gyan tanadriye
hjikfao kwa matap amada vote leinare"	(NAG,NGEN,NCOM)
C95.364	Jalal gido kupna neinaba mathou tari haibni 👍	(NAG,NGEN,NCOM)
