ID	Text	Labels
C575.465	Modi kiya bat hai ye sach hai	(NAG,NGEN,NCOM)
C575.606	Very nice new	(NAG,NGEN,NCOM)
1247555337814593539	https://t.co/wDO5PduB4M  ये बांगलादेशियों को बुलाकर कहीं उनका राशन कार्ड तो नहीं बनवा रहा?   #MuslimVirus  #IslamicCoronaJehad @jamiamillia_ @JIHMarkaz @KhanAmanatullah @ArvindKejriwal @INCIndia @RahulGandhi @SoniaGandhiMP @MunawwarRana	(CAG,NGEN,COM)
C575.603	अब चल रहा है राम राज श्री राम राज यही तो है अच्छे दिन अब कौन सा अच्छा दिन आएगा	(CAG,NGEN,NCOM)
facebook_corpus_msr_1805343	angoor khate hain.	(CAG,NGEN,NCOM)
C579.326	Badmash	(OAG,NGEN,NCOM)
C575.442	"A Scintillating Eulogy Fir Modi's BJP Steller Government..Tributes...in Jai
Hind !🙏🌟🤞✌️🧮⚡"	(NAG,NGEN,NCOM)
1245757378538209280	What numbers will it qualify to be termed as #MuslimVirus !  #BanTabligiJamat	(CAG,NGEN,COM)
C579.108	"Are BC bina sources ke kuch bhi boek ja rhi hai lol isse zyada fake news nhi
dekhi aaj tak"	(OAG,NGEN,NCOM)
1245754491086852096	Where are our own bajrang dal members . As Home ministry is not able to tackle #MuslimVirus , we should seek help from @BajrangdalOrg , they can easily make these #IslamicCoronaJehad members fall in line.	(OAG,NGEN,COM)
1245566308533456897	@MajorPoonia Sir shoot them if they are not cooperating. Khud bhi marenge desh ko bhi marenge..😠😠😠 #NizamuddinIdiots  #MuslimVirus  #ChinaVirus	(OAG,NGEN,COM)
facebook_corpus_msr_857689	"
hmare desh me hr 6 mahino me chunav hote he kya ek state ke liye pure desh ke bajat ko rok de
"	(NAG,NGEN,NCOM)
1278706505	pakistan ko teesri haar mubarak ho. #indvssa	(CAG,NGEN,NCOM)
C19.4	"लल्लनटॉप वाले भी अपने कानून की तरह अंधे है  
इन्हें भी बस सलमान खान, शाहरुख खान,अमिताभ बच्चन की मूवी ओर एक्टिंग अच्छी लगती
हैं ये इनकी फिल्मों को ही 5 स्टार देते है बस  
ये भी सेक्शन375 मूवी की महिला वकील की तरह गधे ही है"	(OAG,GEN,NCOM)
C575.439.5	"@Narendra Kumar Tewani aise hai kya beta. Tumhare neta logon ko bolo pehle
media house ko na sambhale aur independently apna kaam karen. Phir bolo. Tui
toh bol raha hai na baccha aisa toh koi bhi bol sakta hai. Ankh mein gomutra
atka huwa hai."	(OAG,NGEN,NCOM)
facebook_corpus_msr_1805166	If so educate us naa, where are the proof's. Why you are hesitating to share with us.	(NAG,NGEN,NCOM)
C19.103	Bhosdiwalo bina spoiler k review Diya Karo...	(OAG,GEN,NCOM)
facebook_corpus_msr_1805395	I'm agree with it but I will share this  😂😂😂😂😂😂	(NAG,NGEN,NCOM)
C575.756	दबा दिया शेयर	(NAG,NGEN,NCOM)
1278697059	dushman k chakke churade hum india wale.. #indvspak #worldcup2015 #wontgiveitback	(OAG,NGEN,NCOM)
facebook_corpus_msr_233716	Jai Hind bol ke samne apni formalities Puri kar de y h humara hindustan	(NAG,NGEN,NCOM)
1278697022	jita mem vinamrata aura hara mem atmamamthana amtyanta avazyaka hai | #aapsweep	(NAG,NGEN,NCOM)
1278697219	ab indian cricket fans phatakhe lekar wait karegi 'mauke' ke liye. #indvssa #cwc15	(CAG,NGEN,NCOM)
C575.418	Kaha hai video bakwas kar rahe ho.	(OAG,NGEN,NCOM)
C579.221	"Kuchh Nahin Hai bolane Ko To Kuchh Bhi bolo sharm aani chahie Tum Logon Ko
Tumhare man Baap Nahin ke ghar mein sharm karo Salon sharm karo"	(OAG,NGEN,NCOM)
C8.989	"inn jaise chutiye critics ke wajah se bollywood/ indian cinema peeche hai  
delhi belly  
padmavat  
and now  
kabir singh  
bhai chup kar pseudo feminist  
it’s just a movie  
chill marr bc  
kaise hua and all bc  
itna cringe aaj tak maine kabhi feel nahi kiya  
bhen ki lodi"	(OAG,GEN,NCOM)
facebook_corpus_msr_506266	"
EXCLUSIVE: Looking to invest at least $142 billion in the next 4 years in the Indian Railways says Suresh Prabhu, Railway Minister.
"	(NAG,NGEN,NCOM)
C575.235	Nice bro	(NAG,NGEN,NCOM)
C579.597.2	"RSS के पिल्ले तू क्या देखने गया था क्या वो क्या कर रहा था। राम राम करके इस
भारत के टुकड़े करके ही तुम साले शांत बैठोगे। साले उस आदमी ने भारत को सभाला है
जब भारत महुस्किल दौर से गुजर रहा था। आरएसएस किधर थी जात और धर्म के नाम पे भारत
को तोड़ना कोशिश कर रही थी। उस पे सरदार वल्लभ भाई पटेल ने खुद आरएसएस पर पाबंदी
लगाई थी। जिन पर राजनीत करके नेहरू को छोटा करने की कोशिश कर रही हैं। और एक बात
सरदार वल्लभ भाई पटेल महान थे । है और रहगे उनको आरएसएस के प्रमाणपत्र की जरूरत
नहीं । आजादी हर किसी का योगदान से मिली है ( गांधी को छोड़कर ये मेरा मानना है )
। और तुम बात ओ की शामा प्रसाद मुखरजी ने क्या योगदान दिया भारत को खड़ा करने में
। भाई ये आरएसएस बीजेपी का राजनीतिक चालो को समझो । उस समय सरदार वल्लभ भाई पटेल
की तबियत बिगड़ी हुई चल रही थी तो। गांधी ने कहा कि अगर सरदार पंतप्रधान बनते और
उनकी मौत हो जाती तो भारत टूट जाता। इस लिए सरदार वल्लभ भाई पटेल जी ने पंतप्रधान
नहीं बने । उनकी मौत १९५१ के आसपास हुई"	(OAG,NGEN,COM)
C577.2	"Jo ldke Dekh rhe the vo pkka apike jese honge ...beti hogi agar apki ...to vo
bechari kya sochri hogi is comment pr ...ekbar usise poochlena"	(OAG,GEN,NCOM)
1278705874	#indvssa shikhar ke taap se tumhe bas ek hi aadmi bacha sakta hai, khud shikhar. @sdhawan25	(NAG,NGEN,NCOM)
C575.244	Bjp bhagayo Des bachayo	(OAG,NGEN,NCOM)
C575.397	Koi.bi.neta.ho.sant.ho.choot.hai.sunder.to.sab.lutana.hai.desko.sadiyase.chalti.arahr.koi.bhi.raja.bacha.hai.kya.ya.bhagvan.100.vale.	(OAG,GEN,NCOM)
C575.622.1	hmm	(NAG,NGEN,NCOM)
1278706654	ab formality karni hai?? ya jeet mana lein?? #indvssa #justasking	(CAG,NGEN,NCOM)
C577.105	Sale increased in market	(NAG,NGEN,NCOM)
1249550403177308160	@actormanojjoshi Salo tume kahi esa dikha ki #MuslimVirus ,#jehadimulle,#TabhleegiJamaat valo ne kai ku6 madd ki sale  hamari hindu o ki kamai khate ho ham par jite ho  Doctor's par thook te hi pesab karte ho 🤬🤬🤬 Or kitana giro ge  https://t.co/A2QJc7fDGI	(OAG,NGEN,COM)
1278705108	kal chod denge bhencho... #indvspak #cwc15	(OAG,GEN,NCOM)
C575.540	बीजेपी सरकार को हटाना जनता के हित में होगा	(OAG,NGEN,NCOM)
C36.852.5	@Yashwant Choudhari bhosdike to kya chakkk ke wajah se strong hui h kya	(OAG,GEN,NCOM)
1278707092	@narendramodi gadi bula rahi he #railbudget2015	(CAG,NGEN,NCOM)
C575.621	ईवीएम हटाओ सब ठीक ठाक हो जायेगा।काली करतूतों से घिरे हुए हैं सब।	(OAG,NGEN,NCOM)
1249577749196312577	56 इस्लामिक देश मिलकर एक #कोरोना_किट नहीं बना पाए और सपना देखते है? #गजवा_ए_हिंद का.. अब हिंदू जाग चुका है अब कुछ नही उखाड़ पाओगे..😡 #CoronaWarrior #COVID__19 #MuslimVirus #मुस्लमान_मतलब_आतंकवादी	(OAG,NGEN,COM)
C8.4825	"abbee..jo..milee..kuch..bhi..  
uthaoo..ur..phek..kr..maroo.  
iske..muh..pr..sidhee...  
bhosdike..dimaag..to..gaand..  
me..hai..in..bkchodo..ka..saale..acting..bhi..samaj..me..nhi..aati..femnist..wali..laudi..ko👿"	(OAG,GEN,NCOM)
C579.105	"Kya ... He भगवान क्या इंसान हैं मैने बचपन मे बहोत speech दिये इनहे चाचाजी
बोलकर....😡 इस नेहरू गांधी परिवार को कभी vote nahi दुंगी"	(OAG,NGEN,NCOM)
C575.627	Kuch hoga ya baato me samay nikal jayega. Naitikta kahan mar gayi 👆🤭	(OAG,NGEN,NCOM)
1246153664588156929	@narendramodi Modiji we all are with you. We will together fight with these problem which our country faces today, but sir their is also one more big issue today which we all are facing. You know to whom im addressing, 'Ye HINDUSTAN ke liye dimak h jo usko ander se khokla krre h' #MuslimVirus	(OAG,NGEN,COM)
1278706670	#shamitabh dekh kr toh aansu aagaye yar http://t.co/cqmpifggdc	(NAG,NGEN,NCOM)
C8.926	left liberals secular ki gand jal kar aadi ho chuki hai bc 😂😂😂🤣	(OAG,GEN,NCOM)
1244932677947424769	@SushantBSinha पहले #पत्थर और #बम फेंक रहे थे! अब #कोरोना बाँट रहे हैं!  काम वही सोच नई। 🙄😳  #ArvindKejriwal #TablighiJamat #TablighiVirus #TablighiJamaat #Tableegijamaat #MuslimVirus #Muslims #CoronaJihad #Coronavirustruth	(OAG,NGEN,COM)
1245774434096435200	#TabligiJamaat #MuslimVirus  #MuslimsSpreadingCorona This phase  transition from Chinese to Muslim virus is hitting our country more severely. Something worse is coming 😶😶😶	(OAG,NGEN,COM)
C575.566	Evm and b j p hatao desh bachao	(OAG,NGEN,NCOM)
C8.9418	"hardik pandya: 'i don't talk with girls,i observe them first'  
pseudofeminists attacked.  
  
kabir singh: movie exists  
pseudofeminists attacked.  
  
me (2022): 'hey bitches'  
suchitra like girls :stop objectifying women, you sexist, you're harassing
women.  
  
  
  
let's take a stand against all this, these fake feminists are degrading the
real meaning of feminism. and yes suchitra is the next tanushree dutta"	(OAG,GEN,NCOM)
C575.765.2	Sahi bolraheho sir	(NAG,NGEN,NCOM)
C579.173	Ek mahan neta par khichad uchal rahe ho anbhakt ho pure ke pure	(OAG,NGEN,NCOM)
C8.4278	madarchod teri maa ki choot	(OAG,GEN,NCOM)
facebook_corpus_msr_300244	"
sonepat me ek fy over h jisse public bahut pareshan h........plz us mudde ko bhi uthao
"	(NAG,NGEN,NCOM)
1246992212803465221	@RanaAyyub 🇮🇳 हाँ हमने थाली पीटी क्योंकि हमें पुलिस और डॉक्टरों को पीटना नही आता और अब हम दिये जलाएँगे क्योंकि हमें देश जलाना नहीं आता... #MuslimVirus #TablighiJamatVirus	(OAG,NGEN,COM)
C575.72	Sach Kahate ho aap yah sale niche Logon ki party hai	(OAG,NGEN,NCOM)
1244963033090121728	China : Coronavirus America : Chinese Virus And India Media : #MuslimVirus ....! Lets make this trend #I#Support#Tabligh	(OAG,NGEN,COM)
1249240594100051969	India should deport those culprit muslim jihadis to arab. Who are creating nuisance and doing illegal acts. #MuslimVirus	(OAG,NGEN,COM)
C577.227	"Me khud bjp wala hu pr aaj tak mene asa chutiya cm ni dekha. .ldkiyan ghurta h
sala. Fatti zeans or ghutne dekhta. .ab ki bar 90 par ..hoga 😂"	(OAG,NGEN,NCOM)
C579.512	"दुनिया का सबसे भडवा रंडीबाज नेहरू ही था देश की बरबादी करके मर गया पहले मर गया
होता तो बहुत अच्छा भारत होता"	(OAG,NGEN,NCOM)
1245339143732785153	जब अपराधी कोई मुस्लीम होता है तो सारे पुलिस, प्रशासन और न्यायिक संस्था को सम्प्रदायिक घोषित कर दिया जाता है, लेकिन जब किसी हिन्दू पर आरोप लगाया जाता है तो उसे सेकुलरिज्म कहा जाता है।  यही इन कथित सेकुलरों का दोग्लापन है !#MuslimVirus #Coronavirustruth #upichalega #KejriwalExpos	(OAG,NGEN,COM)
1278697235	rt @abhiru80: 60 varsom se deza ki janata ke a~khom mem dhula jhomka kara deza ko lutane vali kamgresa ko itana behatarina #railbudget2015 bhi niraza janaka la…	(OAG,NGEN,NCOM)
facebook_corpus_msr_1737022	Absolutely pathetic piece of journalism from Indian express. This guy just made such an inspiring speech but all this news agency saw was criticism of AK. Highly disappointed!!!	(OAG,NGEN,NCOM)
C8.4137	bhag madarchod	(OAG,GEN,NCOM)
C579.243	Is repotar ke bhi nehru ke sath sakkar tha iske liya itna kuch janti he he.😁😁😁	(OAG,NGEN,NCOM)
C579.210	नेहरू देश का गद्दार था	(OAG,NGEN,NCOM)
