ID	Labels
T.1.470	(OAG,NGEN,NCOM)
T.1.847	(OAG,NGEN,COM)
T.1.1458	(OAG,NGEN,COM)
T.1.398	(OAG,NGEN,NCOM)
T.1.1043	(OAG,NGEN,COM)
T.1.1291	(OAG,GEN,COM)
T.1.965	(NAG,NGEN,NCOM)
T.1.1340	(CAG,NGEN,NCOM)
T.1.857	(NAG,NGEN,NCOM)
T.1.868	(OAG,NGEN,COM)
T.1.1884	(CAG,NGEN,COM)
T.1.915	(NAG,NGEN,NCOM)
C648.241.1	(NAG,NGEN,NCOM)
T.1.247	(NAG,NGEN,NCOM)
T.1.1775	(CAG,NGEN,NCOM)
T.1.586	(OAG,NGEN,NCOM)
C648.181	(NAG,GEN,NCOM)
T.1.829	(NAG,NGEN,NCOM)
C576.268	(OAG,GEN,NCOM)
C648.209	(NAG,NGEN,NCOM)
C576.46	(NAG,NGEN,NCOM)
T.1.970	(OAG,GEN,NCOM)
T.1.1133	(OAG,NGEN,NCOM)
T.7.64	(NAG,NGEN,NCOM)
T.1.1164	(NAG,NGEN,NCOM)
T.1.1467	(OAG,NGEN,COM)
C648.175	(NAG,GEN,NCOM)
T.1.2276	(NAG,NGEN,NCOM)
T.2.161	(CAG,NGEN,COM)
T.1.318	(NAG,NGEN,NCOM)
T.1.909	(NAG,NGEN,NCOM)
T.1.279	(NAG,NGEN,NCOM)
C576.235	(OAG,GEN,COM)
C648.24	(OAG,GEN,NCOM)
T.1.1798	(OAG,NGEN,NCOM)
T.1.1482	(NAG,NGEN,NCOM)
C576.122	(OAG,GEN,NCOM)
C576.140	(OAG,GEN,COM)
T.1.2216	(NAG,NGEN,COM)
C576.80	(NAG,NGEN,NCOM)
T.1.642	(NAG,NGEN,NCOM)
T.1.967	(OAG,GEN,COM)
C576.100	(OAG,GEN,COM)
T.1.2100	(NAG,NGEN,NCOM)
T.1.1767	(NAG,NGEN,NCOM)
T.4.22	(OAG,NGEN,COM)
C576.315	(CAG,GEN,COM)
T.1.605	(NAG,NGEN,COM)
C576.209	(OAG,GEN,COM)
C648.30	(NAG,GEN,NCOM)
T.1.878	(NAG,NGEN,NCOM)
T.1.903	(OAG,NGEN,NCOM)
T.1.1052	(OAG,NGEN,NCOM)
T.1.575	(OAG,NGEN,NCOM)
T.1.1655	(NAG,NGEN,NCOM)
T.1.1293	(OAG,NGEN,NCOM)
T.1.2033	(NAG,NGEN,NCOM)
C648.246.3	(NAG,GEN,NCOM)
T.1.1267	(OAG,NGEN,NCOM)
T.1.1478	(NAG,NGEN,COM)
C576.325	(OAG,GEN,COM)
C576.226	(CAG,GEN,COM)
T.1.821	(NAG,NGEN,NCOM)
T.1.611	(NAG,NGEN,NCOM)
C576.39	(OAG,GEN,COM)
T.1.921	(NAG,NGEN,NCOM)
T.1.113	(NAG,NGEN,COM)
T.1.677	(NAG,NGEN,NCOM)
T.1.1079	(NAG,NGEN,NCOM)
T.1.1405	(OAG,GEN,COM)
T.2.27	(OAG,NGEN,COM)
T.1.1660	(NAG,NGEN,NCOM)
T.1.1851	(OAG,NGEN,NCOM)
T.1.761	(NAG,NGEN,NCOM)
T.1.1030	(OAG,NGEN,COM)
T.2.175	(NAG,NGEN,NCOM)
T.1.465	(NAG,NGEN,NCOM)
C648.193	(NAG,NGEN,NCOM)
C648.81	(NAG,GEN,NCOM)
C576.340	(OAG,GEN,COM)
T.7.80	(CAG,NGEN,NCOM)
T.1.964	(NAG,NGEN,NCOM)
T.1.1452	(NAG,NGEN,NCOM)
C648.89	(NAG,GEN,NCOM)
T.1.2281	(OAG,NGEN,NCOM)
T.1.1818	(NAG,NGEN,NCOM)
T.1.69	(NAG,NGEN,NCOM)
C648.36	(NAG,GEN,NCOM)
T.1.973	(NAG,NGEN,NCOM)
T.1.427	(OAG,NGEN,NCOM)
T.1.1397	(CAG,NGEN,COM)
T.1.597	(OAG,NGEN,NCOM)
T.2.145	(CAG,NGEN,COM)
T.1.1656	(NAG,NGEN,NCOM)
T.1.2306	(NAG,NGEN,NCOM)
C648.154	(NAG,NGEN,NCOM)
T.1.604	(NAG,NGEN,NCOM)
