ID	Text	Labels
C1040.278	সে ভারতের	(NAG,NGEN,NCOM)
C1040.134	😭😭😭😭😭😡😡😡😡😡😡😡😡	(CAG,NGEN,NCOM)
C61.1566	tome hola bal chera tumi nijai jante	(OAG,GEN,NCOM)
C1039.92	মহরমে কি সব সাবালোকরা অস্ত্র ধরে । নাকি সব বাধা হিন্দুদের বেলায় ।	(OAG,NGEN,NCOM)
C46.168	"এই মাদারচেদ ধোন কাঁটা মোল্লার বাচ্চাদের গুষ্ঠি একদিন পুরো মায়ানমারের মতো সাফ
হয়ে যাবে... জয় শ্রী রাম"	(OAG,GEN,COM)
C1030.84	Magi RSS er dalal	(CAG,GEN,COM)
C1037.8	ত্রটা বিজেপির শেষ রথযাত্রা 2019 বিজেপি থাকছে না	(OAG,NGEN,NCOM)
C1035.191	"আপনাদের chennel এর এমন দশা হয়েছে যে আপনাদের চেনেল এ এরম জানোয়ারদের ভাষণ আগে
চালানো হয় মুখ্যমন্ত্রী এর ভাষণ বন্ধ করে। এই হচ্ছে অবস্থা।। 
 
আপনাদের পিছনে কত চাপ দেওয়া হচ্ছে আর কারা কারা চাপ দিচ্ছে বোঝা যাচ্ছে"	(OAG,GEN,NCOM)
C1039.153	Media Tao bikrri hoye giyeche	(OAG,NGEN,COM)
C1034.15	what is kinemaster?	(NAG,NGEN,NCOM)
C1038.283	Jaishree.ram	(NAG,NGEN,NCOM)
C1048.237.2	Seriously tai count krte par6e na.... Actually prani tai onno groher 😂😆😆	(CAG,NGEN,NCOM)
C8.13739	randi ki ldki 🙏	(OAG,GEN,NCOM)
C1030.82	This girl is hindu randi.....🤭🤭🤭	(OAG,GEN,COM)
C61.1583	Hitire cudi	(OAG,GEN,NCOM)
C1035.224.2	"@Sourav Chatterjee oi chinta vabna niyei bose thako. Tomader vobishhot ovabei
কেটে যাবে"	(OAG,NGEN,NCOM)
C46.122	গুদমারানির বাচ্চাদের শেষ পর্যন্ত কি হল! ফাঁসি হবে তো?	(OAG,GEN,NCOM)
C1040.77	"শালা পাগল!😠😡😡 
ওই যে বালই হোক,ওকে আইনের আওতায় আনা হোক।"	(OAG,NGEN,NCOM)
C1035.247	এই লোকটা দেশে জঙ্গি ছরাবে	(OAG,NGEN,NCOM)
C1038.213.1	Subha Ram Nvami	(NAG,NGEN,NCOM)
C1039.267	Dilip babu joto ram ram koro kichu hobena	(CAG,NGEN,NCOM)
C1033.14.2	"@Narsingdi Tube club কাশ্যপ গোত্র নমঃ ব্রহ্ম সম্প্রদায়, বুঝেছেন না বুঝলে
জাতিসংঘে যান বুঝায়ে দিবে।ok"	(OAG,NGEN,NCOM)
C61.999	খানকির মেয়ে	(OAG,GEN,NCOM)
C1040.289	Ore Jobai kore dawa dorkar	(OAG,NGEN,NCOM)
C1040.393.2	uttor bongo bole sahos pan nai	(CAG,NGEN,NCOM)
C1032.17	"Kindly compare and contrast Quran as part of your on going discussion on the
topic"	(NAG,NGEN,NCOM)
C1037.39.3	Mamataj begam hatao	(OAG,NGEN,COM)
C61.1416	Khanki magi himesh tor shona chate..himesher mar hadar Teri meri	(OAG,GEN,NCOM)
C1035.104.3	"@Tanusri Naskar setai manush mere bari r gari banano akta art... Ihudi mere
tar rakto diye vat khaoa akmatro desh prem.. Ami khub e hotas ajo hitlar k
jatir janok upadhi deoa holo na Germany te... Varsai sondhi theke Germany k
bachate giye j Germany kei ses kore dilo se Germany r jnno na koreche toh k
koreche..... Dukkho hoy AI dkhe j.... J hitlar Einstein k marte cheyechilo sob
bojha manush sei kafer k nobel chure marlo nobel commiteer more jaoa uchit."	(OAG,NGEN,NCOM)
C1038.291	ilovevhp	(NAG,NGEN,NCOM)
C1037.6	Prasanta কোনো ভেবো না তৃনমুল থাকছে	(NAG,NGEN,NCOM)
C1039.45	Mukul ri kukurer baccha r loket ekta baje maye	(OAG,NGEN,NCOM)
C1040.41	তুমি বোকাচোদা ও ভারত থেকে বলছে ওর ভাষা শুনে বোঝোনা	(OAG,NGEN,NCOM)
C1038.240.1	Wish you a happy Ram Navami!	(NAG,NGEN,NCOM)
C1032.25	গীতা ভাষ্যকে পরবর্তীকালে অনেক বিকৃত করেছে ব্রাহ্মণেরা।	(CAG,NGEN,NCOM)
C61.366	tui to rendi khaner maagi	(OAG,GEN,NCOM)
C58.446	Guda mondal	(OAG,GEN,NCOM)
